MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,HouseOwnerFlag,NumberCarsOwned,CommuteDistance,Region,Age,BikeBuyer
3,1,3,3,0,3,1,2,10,2,7,1
3,1,3,0,0,3,1,2,2,1,3,1
3,2,6,0,0,3,1,2,2,1,3,1
3,2,7,0,0,3,1,2,1,1,3,1
3,1,6,0,0,3,1,2,10,1,4,0
2,1,2,2,1,2,1,2,2,2,7,1
1,1,3,3,0,1,0,2,2,2,7,0
1,2,3,3,0,1,1,2,10,2,7,1
1,2,3,3,0,1,0,2,2,2,7,1
1,1,3,3,0,1,1,2,10,2,7,1
2,2,4,0,0,2,1,2,10,1,3,0
1,1,3,3,0,1,1,2,10,2,7,1
1,1,3,3,0,1,0,2,2,2,7,0
3,2,4,2,0,3,0,2,10,2,7,1
3,2,6,0,0,3,0,2,2,1,3,1
3,2,4,2,0,3,1,2,10,2,7,1
3,1,4,2,0,3,1,2,10,2,7,1
3,2,4,3,0,3,1,2,10,2,7,1
4,1,7,2,0,4,1,2,2,2,7,1
3,1,8,2,0,3,1,2,2,2,7,1
3,2,8,2,0,3,1,2,10,2,7,0
3,1,8,2,0,3,1,2,10,2,7,1
3,1,8,2,0,3,1,2,10,2,7,1
1,1,4,0,0,1,1,2,10,1,4,1
1,2,4,0,0,1,1,2,10,1,4,1
1,1,4,0,0,1,1,2,10,1,4,1
3,2,6,0,0,3,0,2,2,1,4,0
3,2,7,0,0,3,1,2,10,1,4,0
3,1,6,0,0,3,1,2,10,1,4,0
1,2,8,2,0,1,1,2,10,2,7,0
1,2,8,2,0,1,0,2,2,2,7,1
1,1,8,2,0,1,1,2,10,2,7,1
1,2,8,2,0,1,1,2,10,2,7,0
1,2,8,2,0,1,0,2,2,2,7,1
1,2,7,2,0,1,1,2,10,2,6,0
1,1,7,2,0,1,1,2,10,2,6,0
1,2,8,2,0,1,1,2,10,2,6,1
1,1,8,2,0,1,1,2,10,2,6,1
1,2,8,2,0,1,0,2,2,2,6,1
1,2,4,0,0,1,0,2,2,1,4,0
4,1,9.5,0,0,4,1,2,1,2,6,0
4,1,9.5,0,0,4,1,2,1,2,6,1
5,2,9.5,2,2,5,1,3,5,1,5,0
4,2,9.5,0,1,4,0,3,2,1,5,1
4,2,9.5,0,1,4,1,3,2,1,5,1
2,1,8,2,0,2,0,2,2,1,6,1
1,2,6,2,0,1,0,2,10,1,6,0
3,1,7,2,1,3,1,0,1,1,6,0
3,2,7,3,2,3,0,0,1,1,6,0
5,1,8,2,1,5,1,0,5,1,6,1
5,2,8,2,1,5,1,1,5,1,6,1
3,1,9,2,0,3,1,1,5,1,6,1
3,1,9,2,0,3,1,1,10,1,6,0
5,2,9,2,2,5,1,0,2,2,5,1
4,2,9.5,0,0,4,1,0,1,2,5,1
3,1,7,1,0,3,0,1,1,2,4,0
3,1,7,1,0,3,1,1,10,2,4,1
5,1,6,1,0,5,1,1,10,2,4,1
3,1,6,1,0,3,1,1,10,2,4,1
3,2,6,1,0,3,0,1,1,2,4,0
5,1,6,1,0,5,1,1,1,2,6,1
3,2,6,1,0,3,1,1,10,2,6,1
5,2,7,0,0,5,0,1,1,2,4,1
5,2,8,5,5,5,1,4,2,2,4,0
5,2,7,0,0,5,1,1,10,2,4,1
5,1,7,0,0,5,0,1,1,2,4,1
5,2,7,0,0,5,0,1,10,2,4,1
5,1,7,0,0,5,0,1,10,2,4,1
5,2,9,1,0,5,1,1,10,2,6,1
5,2,7,0,0,5,0,2,1,2,4,1
5,1,7,0,0,5,0,2,1,2,4,1
3,1,6,1,0,3,1,1,10,2,4,1
3,2,6,1,0,3,1,1,1,2,4,1
3,2,6,1,0,3,1,1,1,2,4,1
5,1,7,5,4,5,1,2,10,2,4,0
3,2,7,5,4,3,1,2,10,2,4,0
3,1,7,5,4,3,1,2,1,2,4,0
3,1,7,5,4,3,1,2,10,2,4,0
3,2,7,5,4,3,1,3,20,2,6,1
3,1,8,1,0,3,0,1,1,2,6,0
3,1,3,2,0,3,0,2,1,2,81,0
5,2,4,2,0,5,1,1,10,2,8,1
3,1,7,5,4,3,1,3,20,2,6,0
3,1,7,5,4,3,1,3,10,2,6,0
3,1,7,5,4,3,1,3,20,2,6,0
3,1,8,1,0,3,1,1,10,2,6,1
3,2,7,1,0,3,1,1,10,2,6,0
1,1,1,2,1,1,0,2,1,2,7,1
1,2,4,0,0,1,1,1,10,1,4,0
1,2,4,0,0,1,1,1,10,1,4,0
1,2,4,0,0,1,1,1,10,1,4,1
1,2,3,0,0,1,1,2,10,1,3,0
1,2,3,0,0,1,0,2,1,1,3,0
1,2,3,0,0,1,0,2,10,1,3,1
2,2,3,0,0,2,0,2,1,1,3,0
1,1,1,5,0,1,1,2,10,2,8,1
2,1,3,0,0,2,0,2,10,1,3,1
1,2,4,0,0,1,0,2,1,1,3,1
1,2,4,0,0,1,1,2,10,1,3,0
1,2,4,0,0,1,0,2,1,1,3,0
3,2,3,2,0,3,0,2,10,2,8,0
2,1,3,0,0,2,0,2,10,1,4,0
1,2,4,0,0,1,0,2,1,1,3,0
1,1,4,0,0,1,0,2,1,1,3,0
1,1,4,0,0,1,1,2,10,1,4,0
1,1,4,0,0,1,0,2,1,1,3,1
1,2,4,0,0,1,0,2,1,1,3,1
5,2,4,2,0,5,1,2,10,2,8,0
4,1,6,2,0,4,1,1,1,2,8,1
5,1,4,2,0,5,1,2,10,2,8,0
5,1,4,2,0,5,1,2,1,2,8,0
5,1,4,2,0,5,1,2,10,2,8,0
4,2,6,2,0,4,0,1,1,2,8,1
1,1,4,0,0,1,1,2,10,1,4,1
1,2,4,0,0,1,1,2,10,1,4,0
3,2,4,0,0,3,1,1,10,1,4,1
3,1,4,0,0,3,0,1,2,1,4,1
3,2,4,0,0,3,0,1,2,1,4,1
1,2,4,0,0,1,1,2,10,1,4,0
1,1,4,0,0,1,1,2,10,1,4,1
1,2,4,0,0,1,0,2,2,1,4,0
3,1,4,0,0,3,0,1,10,1,4,1
3,2,4,0,0,3,0,1,2,1,4,0
3,1,4,0,0,3,1,1,10,1,4,1
3,1,4,0,0,3,1,1,10,1,4,0
3,1,4,0,0,3,0,1,2,1,4,0
3,2,6,0,0,3,0,1,2,1,4,0
3,2,7,0,0,3,0,2,1,1,4,0
5,2,8,0,0,5,0,1,1,1,4,1
5,1,8,0,0,5,0,1,1,1,5,1
5,1,9,4,4,5,1,1,1,1,5,0
5,2,9,4,4,5,1,1,1,1,5,0
5,1,9.5,1,0,5,1,2,2,1,5,1
5,2,9.5,1,0,5,1,2,2,1,5,0
4,2,9.5,0,0,4,0,4,1,1,5,0
4,1,9.5,0,1,4,1,0,5,1,5,0
3,1,7,0,0,3,1,2,10,1,4,1
5,1,9,4,4,5,1,1,2,1,5,0
4,1,9.5,2,4,4,1,2,10,1,8,0
4,1,9.5,2,3,4,1,3,2,1,8,0
4,2,9.5,2,4,4,1,3,10,1,8,0
5,2,9.5,1,3,5,1,4,1,1,8,0
4,1,9.5,2,3,4,1,2,1,1,8,0
5,2,7,4,0,5,1,2,20,1,8,0
5,2,7,4,0,5,1,2,20,1,8,0
5,2,7,4,0,5,1,2,20,1,8,0
5,2,7,4,0,5,1,2,20,1,8,0
5,2,7,4,0,5,1,2,20,1,8,0
4,2,6,4,0,4,1,2,20,1,8,0
4,2,6,4,0,4,0,2,2,1,8,0
4,1,6,4,0,4,1,2,20,1,8,1
5,1,7,5,0,5,1,2,20,1,8,0
5,2,7,5,0,5,1,3,20,1,8,1
5,1,6,4,0,5,1,2,5,1,8,0
5,1,6,4,0,5,1,2,5,1,8,0
5,2,6,4,0,5,1,2,5,1,8,0
5,2,6,5,0,5,1,3,20,1,8,0
5,1,6,5,0,5,1,3,20,1,7,0
5,2,7,3,1,5,0,1,2,1,7,0
5,2,7,4,1,5,1,1,20,1,7,0
5,2,7,4,1,5,1,1,20,1,7,0
5,1,7,4,1,5,1,1,2,1,7,0
5,2,7,4,1,5,1,1,20,1,7,0
5,2,8,5,0,5,0,2,2,1,7,0
1,1,4,2,1,1,1,2,20,1,7,0
1,2,4,2,1,1,1,2,5,1,7,0
1,2,4,2,1,1,1,2,20,1,7,0
3,1,6,2,1,3,1,1,20,1,7,0
3,2,6,2,1,3,1,1,20,1,7,0
5,2,6,2,1,5,1,0,20,1,7,0
5,2,6,2,1,5,1,0,20,1,7,0
3,1,7,4,1,3,1,2,20,1,7,0
1,2,4,2,1,1,1,2,5,1,7,0
1,2,4,2,1,1,1,2,5,1,7,0
3,2,6,2,1,3,1,2,20,1,7,0
3,1,6,2,1,3,1,2,20,1,7,0
2,2,4,2,1,2,1,2,20,1,7,0
3,2,6,2,1,3,1,2,20,1,7,1
3,2,6,2,1,3,1,2,20,1,7,1
3,2,6,2,1,3,0,2,5,1,7,0
1,1,6,2,1,1,1,2,20,1,7,0
3,2,6,2,1,3,1,1,20,1,7,0
3,1,7,4,2,3,1,1,2,1,7,0
5,2,8,3,1,5,1,1,2,1,7,0
1,2,7,2,1,1,1,2,5,1,7,0
1,2,7,2,1,1,1,2,20,1,7,1
3,2,6,2,1,3,1,1,20,1,7,0
3,2,6,2,1,3,1,1,5,1,7,0
3,1,6,2,1,3,1,2,20,1,7,1
3,2,6,2,1,3,1,2,20,1,7,0
3,1,7,4,2,3,1,1,20,1,7,0
3,2,7,4,2,3,0,2,5,1,7,0
1,1,6,2,1,1,1,2,20,1,7,0
1,2,6,3,1,1,0,2,5,1,7,0
3,1,7,4,2,3,1,2,20,1,7,0
3,2,7,4,2,3,1,2,20,1,7,0
3,1,7,4,2,3,1,2,20,1,7,0
3,1,7,5,2,3,1,2,20,1,7,0
5,1,9.5,2,3,5,0,4,1,3,6,1
5,2,9.5,2,3,5,0,4,1,3,6,1
3,2,9.5,2,4,3,0,2,10,3,6,1
3,2,9.5,2,3,3,1,4,10,3,6,1
3,2,9.5,2,3,3,1,4,10,3,6,1
3,1,9.5,2,4,3,1,3,10,3,6,1
3,2,9.5,2,3,3,1,3,1,3,6,1
5,2,9.5,2,3,5,0,3,1,3,6,1
1,1,9.5,3,4,1,0,4,10,3,6,1
1,2,9.5,3,4,1,0,4,10,3,6,1
3,2,9.5,3,4,3,0,3,1,3,6,1
3,1,9.5,3,4,3,1,4,20,3,7,0
3,2,9.5,3,4,3,1,3,1,3,7,1
1,2,9.5,3,4,1,1,2,10,3,7,1
1,1,3,4,0,1,0,2,10,1,84,1
4,1,9,3,0,4,1,1,5,1,84,1
4,1,6,2,0,4,1,2,2,1,84,0
4,1,7,4,0,4,1,2,10,1,84,0
4,1,7,4,0,4,1,2,10,1,83,0
4,2,7,4,0,4,1,2,10,1,83,0
4,2,9.5,1,2,4,1,4,5,1,84,1
4,1,9.5,1,2,4,1,4,5,1,83,0
3,2,9.5,4,1,3,1,4,5,1,4,1
5,2,9.5,2,2,5,1,3,5,1,4,0
4,2,9.5,1,2,4,1,1,1,1,4,1
5,2,8,4,3,5,1,0,1,1,4,0
3,2,9,5,5,3,1,3,5,1,4,1
3,1,9,5,5,3,0,3,1,1,4,1
3,2,9,5,5,3,1,3,1,1,4,1
3,2,9,0,0,3,0,1,10,1,4,1
3,1,9.5,4,2,3,1,4,5,1,4,1
4,2,9.5,2,2,4,1,2,2,1,4,0
4,1,9.5,2,2,4,1,2,1,1,4,0
4,1,9.5,2,2,4,1,3,1,1,4,1
5,2,9.5,2,0,5,0,4,2,1,4,1
3,2,7,4,3,3,1,0,10,1,6,1
3,1,9,2,1,3,1,0,20,1,6,0
4,1,5,2,0,4,1,2,10,1,82,1
4,2,8,4,0,4,1,2,1,1,83,1
3,2,8,4,3,3,1,2,5,1,4,0
3,1,8,4,3,3,1,2,1,1,4,0
3,1,9,0,0,3,0,1,20,1,4,1
3,2,9,0,0,3,1,1,20,1,4,0
3,1,9,0,0,3,1,1,20,1,4,0
5,2,9.5,4,2,5,1,4,10,1,4,1
3,1,9,5,4,3,1,4,2,1,4,1
5,1,9.5,1,3,5,1,2,2,1,4,0
5,2,9.5,1,3,5,1,2,2,1,4,0
3,1,9.5,1,3,3,0,4,5,1,4,0
4,1,9.5,0,0,4,1,4,5,1,4,1
3,1,7,5,4,3,0,3,10,1,6,0
5,2,9.5,1,3,5,1,3,5,1,4,0
5,2,9.5,1,3,5,1,1,1,1,6,1
5,2,9.5,1,3,5,1,3,5,1,4,1
5,2,9.5,1,3,5,1,3,5,1,4,1
3,1,9.5,1,2,3,0,3,1,1,4,1
1,1,6,2,0,1,0,2,2,1,7,0
1,1,6,2,0,1,0,2,2,1,7,0
2,2,8,2,0,2,1,2,10,1,7,1
4,2,5,2,0,4,1,2,10,1,81,1
4,1,7,4,0,4,1,2,10,1,82,1
4,1,7,4,0,4,1,2,2,1,82,1
4,1,7,4,0,4,1,2,2,1,8,1
3,1,8,5,4,3,0,3,2,1,6,0
3,1,8,5,4,3,1,4,10,1,6,0
1,1,9,4,3,1,0,3,2,1,6,1
1,2,9,4,3,1,0,3,2,1,6,1
3,2,9.5,0,3,3,1,0,10,1,6,0
3,1,9.5,3,3,3,0,4,5,1,6,0
3,1,9.5,3,3,3,0,4,5,1,6,0
2,1,8,2,0,2,1,2,10,1,7,1
1,1,6,2,0,1,0,2,2,1,7,0
1,2,6,2,0,1,1,2,10,1,7,0
4,2,7,3,0,4,1,2,10,1,7,0
4,2,7,3,0,4,0,2,2,1,7,0
4,2,7,3,0,4,1,2,10,1,7,0
4,1,7,3,0,4,1,2,10,1,7,0
4,2,7,3,0,4,0,2,2,1,7,0
4,2,7,3,0,4,0,2,2,1,7,0
4,1,6,3,0,4,1,2,10,1,7,1
3,2,4,3,0,3,0,2,10,1,7,1
3,2,4,3,0,3,0,2,2,1,7,0
4,2,7,4,0,4,0,2,2,1,8,1
4,2,8,4,0,4,1,2,10,1,8,0
5,1,9,5,0,5,1,2,10,1,8,0
5,2,9,5,0,5,1,2,10,1,8,0
4,1,9.5,2,4,4,1,3,10,1,8,1
5,1,9,5,0,5,1,2,2,1,8,1
5,1,9,5,0,5,1,2,10,1,8,1
5,1,9.5,2,3,5,1,4,1,1,8,1
5,1,9,5,0,5,1,2,10,1,8,1
5,1,9,5,0,5,1,2,10,1,8,1
5,1,9,5,0,5,1,2,10,1,8,1
4,1,9.5,2,4,4,1,1,5,1,8,0
3,2,9,4,4,3,1,2,2,1,5,0
4,2,1,1,0,4,1,0,1,3,4,1
4,2,2,1,0,4,1,0,1,3,4,1
5,2,1,1,0,5,1,0,1,3,4,1
5,2,1,1,0,5,1,0,1,3,4,1
4,1,2,1,0,4,1,0,1,3,4,1
5,1,1,1,0,5,1,0,1,3,4,1
4,1,2,1,0,4,1,0,1,3,4,1
4,1,2,1,0,4,1,0,1,3,4,1
4,2,1,1,0,4,1,0,1,3,8,1
4,1,2,1,0,4,1,0,1,3,8,1
4,1,3,5,0,4,1,0,1,3,4,0
5,1,1,1,0,5,1,0,1,3,6,1
3,2,1,1,0,3,1,0,1,3,6,1
3,2,1,1,0,3,1,0,1,3,6,1
3,2,1,2,0,3,1,1,1,3,7,1
3,1,1,2,0,3,1,1,1,3,7,0
3,1,1,2,0,3,1,1,1,3,7,0
3,2,1,2,0,3,1,1,5,3,7,0
4,2,3,1,0,4,1,0,1,3,8,0
5,2,2,1,0,5,1,0,1,3,8,1
3,1,1,2,0,3,1,1,1,3,8,0
5,2,3,1,0,5,1,0,1,3,8,1
3,2,2,1,0,3,1,0,1,3,8,0
4,1,4,1,0,4,1,0,1,3,8,0
3,1,1,0,0,3,0,1,5,2,3,1
3,1,1,0,0,3,0,1,5,2,3,1
3,2,1,0,0,3,0,1,1,2,3,1
3,1,1,0,0,3,0,1,1,2,3,1
3,1,1,0,0,3,1,1,5,2,3,1
1,2,1,0,0,1,1,2,1,2,3,0
1,1,1,0,0,1,0,2,1,2,3,0
1,1,1,0,0,1,0,2,1,2,3,1
1,2,1,1,1,1,0,0,5,2,3,1
1,2,1,1,1,1,0,0,2,2,3,1
5,2,2,0,0,5,1,0,1,2,3,0
5,1,2,0,0,5,1,0,1,2,3,0
1,1,1,1,1,1,0,0,2,2,3,1
5,2,2,0,0,5,0,0,1,2,3,0
5,2,2,0,0,5,1,0,1,2,3,0
5,2,2,0,0,5,1,0,1,2,3,0
5,2,2,0,0,5,1,0,1,2,3,1
5,2,3,1,0,5,1,0,1,3,8,0
5,1,3,1,0,5,1,0,1,3,8,0
5,1,3,1,0,5,1,0,1,3,8,0
4,1,4,1,0,4,1,0,1,3,8,0
4,1,3,4,0,4,1,0,1,3,6,0
1,2,1,1,1,1,0,1,5,3,6,1
1,1,1,1,1,1,1,1,5,3,6,1
3,1,2,2,0,3,1,1,2,3,6,1
3,2,2,2,0,3,1,1,5,3,6,1
3,1,2,2,0,3,1,1,5,3,6,1
4,2,3,3,0,4,1,0,1,3,6,0
5,2,3,3,0,5,1,0,1,3,6,0
5,1,3,3,0,5,1,0,1,3,6,0
5,2,3,3,0,5,1,0,1,3,6,0
4,2,4,3,0,4,1,0,1,3,6,1
4,1,4,3,0,4,1,0,1,3,6,1
1,1,1,1,1,1,0,1,5,3,5,0
1,2,1,1,1,1,0,1,5,3,5,0
1,2,1,2,2,1,1,0,1,3,5,0
1,1,1,2,2,1,1,0,1,3,5,0
1,1,1,2,2,1,1,0,1,3,5,0
1,1,1,2,2,1,1,0,1,3,5,1
5,2,3,0,0,5,1,0,1,3,5,1
1,1,1,2,2,1,0,1,1,3,5,0
3,2,2,0,0,3,0,1,1,3,5,0
5,1,3,0,0,5,1,0,1,3,5,1
5,2,3,1,0,5,1,0,1,3,5,0
4,1,4,0,0,4,1,0,1,3,5,1
4,2,4,0,0,4,1,0,1,3,5,1
4,2,4,0,0,4,1,0,1,3,5,1
4,2,4,0,0,4,1,0,1,3,5,1
3,2,1,3,0,3,0,2,1,3,7,0
3,2,1,3,0,3,0,2,1,3,7,0
3,2,2,2,0,3,1,1,5,3,7,1
3,1,2,2,0,3,1,1,1,3,7,0
1,1,1,2,1,1,0,2,1,3,7,0
1,2,1,2,2,1,1,1,1,3,5,1
3,1,2,1,1,3,1,0,5,3,5,1
3,1,8,3,2,3,0,1,5,3,7,0
3,2,8,4,2,3,1,1,20,3,7,1
3,2,8,4,2,3,0,1,5,3,7,1
3,1,8,4,2,3,1,1,20,3,7,1
3,1,9,5,0,3,0,2,20,3,8,0
2,2,6,3,1,2,1,4,5,3,8,1
1,2,7,5,1,1,1,2,20,3,8,1
3,1,9,5,0,3,0,2,20,3,8,0
4,1,9.5,3,4,4,1,4,1,3,8,0
5,1,9.5,2,3,5,1,4,20,3,7,1
5,2,9.5,3,4,5,1,4,10,3,7,1
5,1,9.5,4,4,5,1,3,10,3,7,1
3,2,8,4,2,3,0,1,5,3,7,1
3,2,8,4,2,3,1,2,20,3,7,0
1,2,9,4,2,1,1,2,20,3,7,1
5,1,9.5,3,4,5,1,4,20,3,7,0
3,2,9.5,2,5,3,1,2,20,3,7,1
5,2,9.5,2,5,5,1,2,20,3,7,1
3,1,8,4,1,3,1,2,20,3,7,1
1,2,9,4,1,1,1,2,20,3,7,0
3,1,9.5,4,5,3,1,2,20,3,7,1
1,2,8,4,2,1,1,2,20,3,7,1
1,1,8,5,2,1,0,2,5,3,7,1
3,1,9.5,5,5,3,1,4,1,3,7,0
3,2,9.5,3,4,3,1,4,20,3,7,0
3,2,9.5,3,5,3,0,4,20,3,7,0
1,1,9,4,1,1,1,3,20,3,7,0
1,2,9.5,4,5,1,1,4,1,3,7,0
1,2,9,4,1,1,0,3,10,3,7,1
2,1,8,5,0,2,0,2,10,3,7,0
2,2,9,5,0,2,0,2,10,3,7,0
2,1,9,5,0,2,1,2,20,3,7,0
5,2,6,0,0,5,0,4,5,2,4,1
5,2,7,0,0,5,1,3,20,2,4,1
5,2,7,0,0,5,0,3,20,2,4,1
5,2,7,0,0,5,0,3,20,2,4,1
5,2,7,0,0,5,1,4,20,2,4,1
5,1,8,0,0,5,1,3,20,2,4,1
5,1,8,0,0,5,1,3,20,2,4,1
1,1,9.5,4,5,1,1,4,1,2,4,1
5,1,7,0,0,5,0,4,20,2,4,1
5,2,8,0,0,5,0,3,20,2,4,1
5,1,8,0,0,5,0,3,20,2,4,1
5,2,8,0,0,5,0,3,20,2,4,1
1,1,9.5,0,5,1,1,2,20,2,4,1
2,1,9.5,5,5,2,1,4,20,2,4,1
5,2,9,0,0,5,1,3,20,2,4,1
1,2,9.5,0,5,1,1,2,20,2,4,0
5,2,8,0,0,5,0,3,20,2,4,1
5,1,9,0,0,5,0,3,20,2,4,1
5,1,9,0,0,5,0,3,20,2,4,1
1,2,9.5,0,5,1,1,4,20,2,5,1
1,2,9.5,0,5,1,0,4,20,2,5,0
5,1,9,0,0,5,1,4,20,2,5,1
5,1,9,0,0,5,0,4,20,2,5,1
2,1,9.5,0,5,2,1,4,20,2,5,0
4,1,9.5,1,5,4,1,4,1,2,5,0
5,2,4,1,1,5,1,0,2,3,4,1
2,1,1,0,0,2,0,2,2,3,4,0
2,1,2,0,0,2,0,2,1,3,4,1
3,2,3,0,0,3,1,1,5,3,4,0
5,1,6,3,2,5,1,2,10,2,4,1
2,2,2,0,0,2,0,2,2,3,3,0
2,1,2,0,0,2,1,2,2,3,3,0
1,1,3,0,0,1,0,1,2,3,3,0
5,2,4,1,1,5,1,0,2,3,4,0
1,1,3,0,0,1,0,1,2,3,4,0
1,1,3,0,0,1,0,1,5,3,4,0
5,1,4,1,1,5,1,0,2,3,4,1
5,2,4,1,1,5,1,0,2,3,4,1
5,2,4,1,1,5,1,0,2,3,4,1
1,2,3,0,0,1,0,1,2,3,4,1
5,1,4,1,1,5,1,1,1,3,4,1
3,1,4,2,2,3,1,0,1,3,5,1
3,1,4,2,2,3,0,0,1,3,4,1
2,2,1,0,0,2,1,2,2,3,5,0
2,2,1,0,0,2,0,2,2,3,5,0
2,1,2,0,0,2,1,2,2,3,5,1
2,2,2,0,0,2,0,2,2,3,5,1
2,1,2,0,0,2,0,2,1,3,5,0
2,1,2,0,0,2,0,2,1,3,5,1
1,1,3,0,0,1,0,1,5,3,5,1
3,2,4,2,2,3,1,0,2,3,5,1
3,1,4,2,2,3,1,0,2,3,5,1
3,1,4,2,2,3,1,1,2,3,5,0
3,1,4,2,2,3,1,2,1,3,5,1
3,2,4,2,2,3,1,2,2,3,5,0
3,1,4,3,3,3,1,2,2,1,4,0
3,1,4,3,3,3,1,2,2,1,4,0
